method,horizon,num_samples,normalized_l2_mean,normalized_l2_std,cosine_similarity_mean,output_kl_mean,output_kl_std,top1_agreement_mean
Identity,1,400,0.39536774158477783,0.3778502941131592,0.9348524212837219,4.6035943031311035,3.052485942840576,0.03500000014901161
Identity,2,400,0.40860307216644287,0.33124643564224243,0.9297822713851929,5.430728912353516,3.24967885017395,0.019999999552965164
Identity,4,400,0.4067302942276001,0.34451043605804443,0.9249498248100281,5.575016021728516,3.321579694747925,0.02500000037252903
Identity,8,400,0.41798365116119385,0.37228891253471375,0.9202772378921509,5.801024913787842,3.3468127250671387,0.03750000149011612
Identity,16,400,0.45274922251701355,0.45870310068130493,0.9052720665931702,6.128025054931641,3.210381507873535,0.029999999329447746
Identity,32,400,0.4909966289997101,0.5325567722320557,0.8925037384033203,6.223927021026611,3.3732430934906006,0.03750000149011612
One-step,1,400,0.19851291179656982,0.28791090846061707,0.9736588001251221,1.329590916633606,1.3777621984481812,0.35249999165534973
One-step,2,400,0.19906246662139893,0.24733585119247437,0.9813456535339355,1.6512324810028076,1.6064966917037964,0.3100000023841858
One-step,4,400,0.20517241954803467,0.25898119807243347,0.980434238910675,1.7667790651321411,1.5916179418563843,0.2549999952316284
One-step,8,400,0.24851840734481812,0.3575209975242615,0.9583737850189209,2.1487619876861572,1.7856884002685547,0.2549999952316284
One-step,16,400,0.2778293490409851,0.3565497100353241,0.9589493274688721,2.433627128601074,1.704018235206604,0.27250000834465027
One-step,32,400,0.3394147753715515,0.3651701509952545,0.9457604885101318,3.7029504776000977,1.9948289394378662,0.14749999344348907
Multi-step,1,400,0.19515302777290344,0.2871491014957428,0.9740145802497864,1.3116660118103027,1.368514060974121,0.3474999964237213
Multi-step,2,400,0.19777542352676392,0.25977829098701477,0.981156587600708,1.6169430017471313,1.5916364192962646,0.3050000071525574
Multi-step,4,400,0.19850319623947144,0.2749289572238922,0.9807279706001282,1.681134819984436,1.5681053400039673,0.2750000059604645
Multi-step,8,400,0.24016180634498596,0.3804405629634857,0.9576941728591919,1.9959042072296143,1.7934492826461792,0.2750000059604645
Multi-step,16,400,0.2514131963253021,0.37627649307250977,0.9599879384040833,2.0054738521575928,1.6656792163848877,0.3050000071525574
Multi-step,32,400,0.29429730772972107,0.38220348954200745,0.9529941082000732,2.3019237518310547,1.6877140998840332,0.27250000834465027
