method_a,method_b,gamma,num_prompts,point_estimate,ci_lower,ci_upper,bootstrap_probability_positive
Survival-weighted,Multi-step,2,80,0.01750000000000001,-0.014999999999999986,0.04750000000000002,0.8729
Survival-weighted,On-policy latent,2,80,0.007500000000000012,-0.022499999999999992,0.03750000000000002,0.6997
Survival-weighted,One-step,2,80,0.022500000000000013,-0.012499999999999994,0.05750000000000001,0.8982
Survival-weighted,Multi-step,4,80,0.012500000000000006,-0.0425,0.07000000000000002,0.6724
Survival-weighted,On-policy latent,4,80,0.0,-0.06,0.06000000000000001,0.4982
Survival-weighted,One-step,4,80,0.05499999999999999,-0.012500000000000006,0.12249999999999998,0.9429
Survival-weighted,Multi-step,8,80,0.015000000000000005,-0.04250000000000001,0.07500000000000002,0.6939
Survival-weighted,On-policy latent,8,80,-0.004999999999999988,-0.06999999999999999,0.05999999999999998,0.4529
Survival-weighted,One-step,8,80,0.052500000000000005,-0.027499999999999976,0.1325,0.9016
