method,horizon,temperature_name,mean_speedup,ci_lower,ci_upper,probability_speedup_gt_1
Decoder-KL,2,greedy,0.5974430137102426,0.5684495344219263,0.6271175640610253,0.0
Decoder-KL,2,stochastic_t1,0.5893425637807889,0.5820635561580694,0.5964645167372481,0.0
Decoder-KL,4,greedy,0.6524451196339297,0.5926791892849248,0.7151316160947244,0.0
Decoder-KL,4,stochastic_t1,0.6180747919894143,0.6023676575079012,0.6344837031808039,0.0
Decoder-KL,8,greedy,0.6462835492053364,0.5613470827429295,0.7342700736301858,0.0
Decoder-KL,8,stochastic_t1,0.5605830394440589,0.5446617818856222,0.5775397162198712,0.0
Local-LK,2,greedy,0.594608937138587,0.5659879377117802,0.6238057498770807,0.0
Local-LK,2,stochastic_t1,0.5958782037405685,0.5860325422448959,0.6046207069297699,0.0
Local-LK,4,greedy,0.6371544548115665,0.584848838521126,0.6917035300254549,0.0
Local-LK,4,stochastic_t1,0.5989680206149011,0.5624603220658819,0.6267902509137805,0.0
Local-LK,8,greedy,0.6212890618283434,0.5615951425401223,0.6841391310503757,0.0
Local-LK,8,stochastic_t1,0.571282604725312,0.5549701527908366,0.5883684230794404,0.0
Multi-step,2,greedy,0.5979428132564732,0.5693604156812501,0.6275528488070305,0.0
Multi-step,2,stochastic_t1,0.5992374246876924,0.5900648559330833,0.6081581852232952,0.0
Multi-step,4,greedy,0.676019598311749,0.6075224486400338,0.7484152160335996,0.0
Multi-step,4,stochastic_t1,0.6077856715543135,0.5945661358882973,0.6213531273077899,0.0
Multi-step,8,greedy,0.7196799187686431,0.6114353685513473,0.8371142011973467,0.0
Multi-step,8,stochastic_t1,0.5621485714338224,0.5281738895868343,0.5874131217375617,0.0
