method_a,method_b,gamma,metric,point_estimate,ci_lower,ci_upper,probability_positive
Survival-LK,Multi-step,2,expected_accepted_prefix,0.008518623438209841,-0.011904513326277313,0.02859157362265101,0.7906
Survival-LK,Decoder-KL,2,expected_accepted_prefix,-0.0039781989600209035,-0.021641921316124916,0.013025831243156373,0.3301
Survival-LK,Local-LK,2,expected_accepted_prefix,-0.005810141184728371,-0.02257405477917822,0.009986222048726439,0.2407
Survival-LK,Multi-step,2,empirical_accepted_prefix,0.009999999999999995,-0.01999999999999999,0.037562499999999104,0.7218
Survival-LK,Decoder-KL,2,empirical_accepted_prefix,-0.012500000000000011,-0.03750000000000001,0.012499999999999989,0.1316
Survival-LK,Local-LK,2,empirical_accepted_prefix,-0.007500000000000009,-0.030000000000000016,0.012500000000000002,0.2106
Survival-LK,Multi-step,4,expected_accepted_prefix,0.0155124365551025,-0.02511787653560939,0.056514324579345875,0.7733
Survival-LK,Decoder-KL,4,expected_accepted_prefix,-0.004336991604456148,-0.03479943076616037,0.028459021334322446,0.397
Survival-LK,Local-LK,4,expected_accepted_prefix,-0.0035104855857490346,-0.03228966561803079,0.02568579325057944,0.4124
Survival-LK,Multi-step,4,empirical_accepted_prefix,0.009999999999999985,-0.050000000000000024,0.07006249999999908,0.6146
Survival-LK,Decoder-KL,4,empirical_accepted_prefix,-0.015000000000000017,-0.06250000000000003,0.03249999999999998,0.2537
Survival-LK,Local-LK,4,empirical_accepted_prefix,0.0024999999999999883,-0.04000000000000001,0.04499999999999998,0.5259
Survival-LK,Multi-step,8,expected_accepted_prefix,0.018093872276183746,-0.027253064139671716,0.06498620048551393,0.7746
Survival-LK,Decoder-KL,8,expected_accepted_prefix,-0.004873477551168454,-0.03806247806246247,0.02911500978140345,0.3878
Survival-LK,Local-LK,8,expected_accepted_prefix,-0.0067839024984043175,-0.04093115901065316,0.025545219071518625,0.3454
Survival-LK,Multi-step,8,empirical_accepted_prefix,0.0049999999999999906,-0.06250000000000001,0.07499999999999998,0.5424
Survival-LK,Decoder-KL,8,empirical_accepted_prefix,-0.027499999999999997,-0.08749999999999998,0.02749999999999999,0.1646
Survival-LK,Local-LK,8,empirical_accepted_prefix,-0.0125,-0.0675,0.039999999999999994,0.3249
